V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2035.705078125,2037.0966,2035.4325,2036.1198,2035.303,2033.6982,2035.5615,2035.3875,2038.4382,2036.7771,2032.0974,2038.6825,2031.9116,2039.6682
2981.62548828125,2980.7822,2981.41,2978.6816,2978.963,2970.4182,2975.707,2985.6,2980.9604,3011.001,2983.6008,2975.605,2987.878,2986.1714
1133.914794921875,1151.9371,1141.8135,1137.6809,1140.488,1150.192,1145.2706,1150.138,1124.5149,1154.1414,1139.1267,1133.4264,1156.7181,1139.0687
1189.7305908203125,1220.9672,1190.0587,1255.2788,1215.0758,1257.5056,1246.6732,1267.416,1182.529,1248.6233,1181.4023,1171.5942,1264.9299,1160.2478
5883.42333984375,5894.654,5879.583,5881.6157,5889.7153,5883.6147,5888.3604,5889.3525,5895.135,5877.051,5888.4556,5887.7285,5890.39,5886.7925
3074.299560546875,3086.2793,3038.7358,3082.4263,3081.7166,3086.0496,3094.2722,3080.7173,3019.2454,3048.4688,3086.9915,3078.8506,3080.5874,3101.2532
5235.39306640625,4937.0293,5477.3916,5519.565,5108.5938,5322.3667,5448.3545,5477.3896,5482.391,5441.376,5225.698,5528.7754,5245.5894,5531.366
1731.7725830078125,1733.4281,1734.0234,1735.2207,1736.604,1736.6768,1736.6653,1734.1349,1734.528,1733.6726,1737.7782,1728.4839,1739.0746,1731.919
1584.5899658203125,1586.0975,1586.3463,1587.7219,1588.9236,1588.9502,1588.8712,1586.6986,1586.9757,1586.1228,1589.8793,1581.3965,1591.1222,1584.3033
2638.16064453125,2644.5923,2621.327,2633.104,2649.5332,2651.6448,2642.0938,2650.1301,2639.9106,2620.7097,2651.3113,2641.695,2645.3716,2620.3545
2439.1279296875,2434.884,2426.642,2439.4075,2437.9165,2455.5032,2453.022,2434.7932,2442.5825,2439.725,2440.2708,2426.876,2451.5493,2427.3818
3674.18115234375,3670.1814,3680.3054,3671.6821,3671.736,3670.642,3670.2954,3673.9275,3673.3198,3663.9055,3671.3757,3671.583,3665.0955,3676.3674
7266.212890625,7271.611,7258.97,7253.9194,7267.3228,7261.7163,7243.696,7266.599,7278.2197,7255.138,7268.7944,7254.6396,7251.724,7271.4517
5681.11669921875,5672.029,5721.4023,5694.6733,5686.9746,5699.7363,5693.061,5709.74,5738.493,5728.9575,5693.257,5667.9795,5710.3867,5722.6885
7964.1103515625,7933.8887,8021.1514,8034.475,7968.2783,8030.337,8111.114,8003.081,8088.2188,7922.2925,7934.8027,8005.6436,7935.37,8240.263
3061.142333984375,3065.1318,3071.7344,3064.7117,3057.9607,3074.507,3072.0054,3069.6506,3059.9785,3072.6997,3073.314,3064.7102,3074.7798,3080.1301
4047.08056640625,4049.5435,4047.8481,4046.454,4046.5452,4041.2175,4039.792,4044.3027,4044.802,4038.9756,4043.067,4044.8147,4035.612,4051.0652
9515.0283203125,9497.654,9508.668,9558.87,9531.312,9553.84,9543.901,9477.302,9516.981,9485.924,9527.25,9536.718,9533.184,9488.0
2714.70703125,2737.489,2721.783,2707.3667,2726.881,2699.1716,2699.5144,2721.2197,2721.4448,2718.304,2706.3428,2721.8682,2702.6235,2729.3926
10873.0732421875,10860.239,10859.912,10872.292,10855.12,10873.632,10893.702,10860.657,10864.692,10869.062,10886.739,10875.756,10901.962,10891.132
2703.041748046875,2726.6682,2709.813,2695.5667,2715.4324,2688.6396,2688.122,2710.3606,2709.4397,2707.1096,2694.432,2710.1501,2691.8271,2717.878
2856.94873046875,2865.7605,2842.6267,2866.0776,2893.2905,2868.0632,2844.6003,2869.1858,2858.847,2839.2537,2901.4297,2856.6128,2865.593,2828.7378
1920.59326171875,1918.7615,1901.3136,1919.8901,1931.5269,1919.6812,1905.5339,1914.0734,1902.595,1897.1829,1929.3018,1917.2659,1909.2673,1892.5381
2545.150390625,2552.9092,2530.4885,2553.7002,2578.1943,2554.5447,2533.8042,2555.565,2546.2478,2528.3325,2585.9841,2544.336,2552.8613,2516.7715
1590.02783203125,1589.335,1582.8431,1592.4918,1599.8287,1593.4536,1582.6434,1587.3278,1584.6517,1577.9745,1602.0857,1592.0686,1585.3217,1576.7107
2366.346923828125,2374.8586,2359.0933,2374.565,2397.3403,2376.8625,2360.2917,2379.3818,2377.1035,2356.6987,2407.4597,2369.4192,2374.9492,2352.655
1712.7926025390625,1710.9509,1694.6923,1712.5178,1722.66,1711.6414,1699.852,1706.6921,1695.2694,1691.7311,1721.3322,1709.6279,1702.9011,1687.3141
427.3327941894531,419.6385,421.28302,429.39343,415.78326,426.0247,425.27762,413.67657,426.4721,425.5522,431.22192,434.4537,421.21576,429.68964
6405.27685546875,6414.228,6446.134,6404.57,6423.3833,6433.7886,6434.6826,6418.4346,6440.0073,6427.0156,6432.9526,6416.2812,6436.2974,6461.225
614.1240844726562,603.077,605.429,617.0812,597.5336,612.2626,611.1599,594.4946,612.8843,611.58276,619.7257,624.3639,605.3385,617.5202
2142.097412109375,2149.1914,2139.2046,2135.8716,2146.2656,2118.0452,2126.679,2154.3884,2151.443,2095.4175,2128.5093,2150.6946,2109.6594,2140.2566
1942.8846435546875,1949.298,1940.2489,1937.2194,1946.6661,1921.097,1928.8943,1954.018,1951.3573,1900.5154,1930.5604,1950.677,1913.4607,1941.2449
6777.8798828125,6797.7275,6773.8486,6768.9,6803.63,6797.276,6783.0225,6795.606,6841.7285,6812.583,6833.2393,6788.163,6795.7935,6778.2666
2280.89453125,2264.185,2272.309,2275.2698,2278.8923,2269.0522,2268.045,2265.9421,2289.9824,2265.4163,2299.2783,2276.3193,2280.0564,2262.8127
1663.51220703125,1672.6525,1637.3877,1663.2858,1672.7983,1670.0513,1656.9645,1646.426,1650.116,1648.0436,1659.2168,1653.0275,1656.3713,1637.8851
3800.25830078125,3803.8306,3801.2283,3793.6555,3801.8289,3774.2864,3787.9631,3803.3496,3801.2507,3777.6282,3782.051,3804.564,3776.0894,3800.8064
2454.16064453125,2478.9092,2476.9553,2454.6426,2476.1655,2440.0723,2419.9104,2488.1855,2460.1729,2462.935,2512.1758,2496.221,2431.018,2483.529
2277.711669921875,2307.9429,2284.1172,2276.7305,2301.9302,2290.6743,2252.3264,2292.9985,2259.9124,2264.9556,2294.6958,2281.765,2299.0486,2265.6372
2571.31494140625,2564.0237,2589.7156,2561.4329,2566.3174,2572.2417,2566.0532,2582.9343,2580.273,2530.7185,2574.2744,2560.376,2558.0925,2549.3472
3923.53173828125,3938.3328,3927.594,3934.538,3921.252,3921.4429,3913.055,3903.8342,3927.5176,3928.6008,3918.602,3917.423,3913.0647,3937.932
6661.31640625,6666.1025,6512.5835,6685.383,6683.5586,6755.162,6756.1333,6668.3213,6681.3438,6316.632,6686.167,6687.689,6706.464,6493.624
7023.53466796875,7018.9585,7021.518,7026.291,6985.9434,7032.0376,7008.267,6987.998,6958.567,7000.1646,7057.3237,7088.1357,7018.4106,7154.243
1120.7122802734375,1121.2305,1132.0709,1123.8197,1119.6764,1125.3221,1125.3243,1120.8625,1122.3304,1136.466,1126.5557,1120.48,1128.6691,1126.8181
8572.2353515625,8567.362,8591.18,8581.0625,8579.8955,8584.39,8598.714,8573.818,8598.823,8572.137,8593.662,8568.987,8607.7295,8586.416
1121.637939453125,1121.9615,1124.9271,1122.2494,1122.8066,1121.4669,1121.9058,1124.8993,1123.502,1124.4585,1123.1976,1120.6693,1121.5431,1124.7462
10157.9697265625,10126.564,10163.0625,10173.926,10166.489,10105.845,10146.279,10150.939,10098.061,10201.231,10230.9,10157.95,10180.714,10114.908
1009.9398193359375,1012.4175,1013.20905,1012.7452,1013.85016,1014.0418,1014.61285,1013.2012,1009.3077,1012.57623,1012.3213,1013.3058,1014.91833,1012.9334
10435.0673828125,10444.025,10522.764,10464.405,10436.479,10475.239,10468.208,10441.733,10442.031,10578.987,10504.351,10438.589,10509.78,10486.057
11025.8671875,11036.469,11119.4,11054.904,11024.246,11067.331,11071.936,11038.599,11028.628,11169.073,11097.715,11025.847,11110.464,11075.932
9920.416015625,9926.139,9939.446,9936.205,9932.924,9903.355,9925.836,9931.799,9869.254,9970.979,9981.676,9919.3955,9971.041,9901.115
1022.9000854492188,1022.5622,1024.567,1023.0418,1023.69354,1019.6945,1021.4258,1022.3036,1016.5277,1027.652,1028.8196,1021.5764,1026.4094,1019.99194
2914.4775390625,2910.1697,2932.3691,2907.2056,2914.1265,2909.8254,2913.2654,2916.1392,2904.006,2948.7988,2935.1118,2913.1467,2932.7993,2946.8042
1109.4061279296875,1109.153,1110.7153,1109.6857,1109.1312,1108.7582,1109.925,1110.9203,1110.1898,1110.6353,1109.8668,1109.1145,1108.9908,1111.2604
2828.587890625,2832.6792,2833.7563,2830.28,2832.5151,2830.8315,2826.75,2828.7412,2831.0374,2823.8792,2832.2385,2831.2568,2824.1353,2835.1267
1080.67919921875,1079.1919,1077.2839,1081.5574,1081.0758,1081.8885,1081.667,1081.2583,1079.2946,1080.512,1082.8158,1081.7708,1084.9244,1079.7356
10546.828125,10551.792,10559.995,10543.282,10547.369,10532.945,10539.895,10574.015,10558.306,10556.778,10547.78,10542.318,10529.351,10561.4375
1714.1622314453125,1713.2292,1722.521,1717.7277,1714.0385,1720.1786,1718.4961,1714.394,1716.7837,1734.1616,1721.4966,1715.4708,1723.9081,1721.4597
1677.6793212890625,1676.5117,1685.0265,1680.8148,1677.2568,1682.4244,1681.118,1678.8885,1680.571,1685.573,1685.3167,1680.4432,1686.2207,1685.5135
4927.01171875,4934.433,4914.5015,4931.227,4942.609,4938.515,4931.3267,4899.4756,4913.537,4918.56,4945.608,4925.337,4947.77,4909.178
4096.4580078125,4106.5396,4104.1426,4099.187,4097.9966,4086.9238,4096.7183,4086.95,4101.694,4098.519,4084.5442,4102.829,4089.0254,4127.9126
3660.0986328125,3673.9265,3672.3708,3684.6604,3673.6082,3659.9114,3670.7642,3646.762,3661.57,3657.558,3645.0747,3681.5151,3655.6912,3697.6025
5658.5263671875,5654.1924,5719.6426,5672.812,5655.9727,5681.4663,5693.1665,5651.9717,5661.751,5696.7236,5683.1553,5679.3496,5705.699,5713.3477
4722.9462890625,4725.537,4734.6094,4722.6914,4720.054,4722.3823,4732.649,4726.3394,4727.766,4734.1885,4724.5913,4721.1196,4733.2656,4740.043
1038.0863037109375,1042.8616,1056.5107,1039.4438,1050.8801,1059.4028,1061.8354,1044.5387,1047.3422,1055.1775,1069.5913,1029.663,1062.0017,1057.4989
3575.81494140625,3569.4102,3519.9875,3560.5989,3583.826,3597.6865,3597.5918,3577.1208,3562.3562,3497.8777,3578.9856,3593.0996,3568.8386,3540.5454
1382.0621337890625,1393.4026,1409.4929,1398.2462,1388.641,1395.4922,1408.6345,1392.7091,1388.8068,1423.5331,1396.7166,1398.3345,1403.582,1407.6998
5129.71435546875,5129.496,5224.938,5155.7163,5130.8394,5174.776,5167.5806,5151.6807,5159.871,5304.8257,5186.146,5157.87,5203.765,5216.9507
5533.66455078125,5535.031,5528.2974,5551.61,5549.951,5531.8506,5491.3623,5540.0996,5533.6924,5488.254,5546.508,5530.146,5504.2812,5522.557
3961.78515625,3959.0667,3948.8445,3965.519,3956.6958,3977.9255,3967.3655,3969.7485,3953.312,3948.9604,3965.361,3967.0518,3965.3623,3952.44
4025.03369140625,4012.5105,4019.4827,4038.023,4014.7417,4024.486,4006.1968,3986.1038,4026.2324,4014.4905,4008.9646,4026.906,4001.6028,4020.68
2521.24462890625,2525.7722,2523.928,2526.0452,2525.7083,2527.885,2535.6162,2526.4927,2522.169,2532.7097,2525.2607,2526.2012,2538.6401,2531.3357
1917.9495849609375,1916.9688,1928.0219,1920.9211,1917.4725,1923.7526,1923.2345,1918.7974,1921.8293,1940.4857,1924.7913,1919.6527,1927.929,1927.9427
1018.7954711914062,1020.076,1023.67834,1021.6315,1021.7678,1022.5915,1024.0658,1022.0337,1019.74396,1023.32434,1021.5824,1021.9188,1024.959,1022.27496
1668.5487060546875,1669.8689,1676.7887,1670.6157,1668.6113,1669.1904,1669.0873,1671.7366,1673.0072,1677.1157,1673.6111,1673.961,1669.1238,1676.438
1637.8599853515625,1641.7491,1632.812,1637.4326,1641.1638,1639.3552,1636.516,1635.9425,1631.7109,1631.4537,1639.4235,1637.9265,1636.9047,1637.9327
1802.415283203125,1801.4646,1805.2509,1803.6938,1804.5231,1803.1578,1797.5734,1800.961,1800.5123,1805.785,1810.2454,1802.205,1802.6853,1799.4701
1941.1988525390625,1942.6245,1944.0256,1943.2241,1942.6488,1942.222,1940.7919,1942.1106,1943.4318,1941.5511,1945.5889,1942.957,1939.4242,1946.076
3232.7744140625,3239.984,3240.838,3229.1643,3230.5212,3222.175,3226.7717,3237.8105,3231.6863,3216.5635,3244.8037,3233.6165,3221.4111,3261.1218
9892.4482421875,9900.022,9949.148,9916.98,9917.908,9935.123,9944.466,9919.723,9913.88,9959.751,9927.544,9915.867,9965.476,9937.716
2492.71044921875,2494.4055,2499.9253,2498.2932,2498.4238,2494.4324,2491.7275,2497.8538,2487.6353,2505.139,2506.0483,2496.9392,2498.579,2490.5146
1562.457275390625,1564.3247,1560.8807,1565.0211,1564.1289,1565.3904,1570.7903,1565.0472,1560.7948,1566.1475,1562.2223,1564.0022,1571.2906,1562.886
1102.586669921875,1103.6451,1111.9431,1105.4918,1102.4238,1106.7347,1107.1901,1103.8593,1102.8593,1116.9047,1109.77,1102.5826,1111.0458,1107.5928
2941.0791015625,2937.6196,2956.1487,2933.5166,2940.546,2935.1135,2938.9128,2942.6863,2930.3076,2967.5981,2959.3433,2938.8062,2956.214,2970.661
1725.2762451171875,1725.0627,1728.7385,1726.876,1725.5187,1725.5907,1727.063,1725.3027,1725.9242,1730.7943,1727.32,1725.9026,1726.9009,1730.4524
6360.4091796875,6320.7505,6433.0366,6332.575,6300.597,6319.46,6334.3066,6342.6626,6354.196,6309.3975,6345.8926,6276.757,6388.0356,6485.322
7087.8232421875,7101.4214,7173.466,7117.869,7077.827,7069.0547,7081.2446,7111.1475,7090.7373,7184.152,7150.8193,7128.578,7084.7573,7201.2876
2152.022216796875,2173.8035,2169.579,2174.3452,2185.9976,2183.9795,2193.477,2167.0208,2161.2979,2177.6006,2190.4624,2177.3574,2194.0427,2162.7412
2245.315185546875,2270.78,2263.4807,2269.0881,2283.3325,2279.0447,2292.283,2261.3213,2254.974,2273.5166,2288.3745,2274.832,2291.6616,2259.7927
2035.1234130859375,2050.4849,2056.1445,2053.7236,2059.3384,2062.4385,2064.9497,2042.9065,2037.475,2063.1252,2069.1282,2050.5767,2069.0725,2045.907
2043.025390625,2056.8833,2065.3252,2061.7332,2066.3643,2069.0212,2071.5083,2049.6104,2044.948,2072.0256,2077.6123,2057.8977,2075.7944,2054.145
2050.182861328125,2068.195,2067.4128,2069.8298,2077.0063,2079.4272,2084.7527,2061.0835,2056.0537,2075.1782,2083.2559,2069.0427,2086.7173,2060.0615
2061.36181640625,2074.1565,2084.904,2079.7598,2084.3499,2086.1409,2088.183,2068.173,2064.0913,2091.4448,2096.4395,2076.0105,2092.8914,2073.3875
2313.502685546875,2341.8142,2332.2288,2334.8423,2352.956,2343.7449,2359.8655,2329.8452,2321.0068,2347.3037,2360.4,2345.7725,2358.0935,2334.5544
